,Month,Year,County,Arithmetic_Mean_ppb
1647,5,2015,Santa Barbara,0.2675165436755278
1648,5,2015,Santa Clara,0.38940730827611836
1649,5,2015,Santa Cruz,0.9618412311122352
1650,5,2015,Shasta,0.6785874162817167
1651,5,2015,Siskiyou,1.4622723366534012
1652,5,2015,Solano,0.47011800424405215
1653,5,2015,Sonoma,0.7179788938909046
1654,5,2015,Stanislaus,0.6466235054899677
1655,5,2015,Sutter,0.8911526666898463
1656,5,2015,Tehama,0.9966662798517327
1657,5,2015,Tulare,0.9013956396610817
1658,5,2015,Tuolumne,1.1509084229675173
1659,5,2015,Ventura,0.3493990377348465
1660,5,2015,Yolo,0.5062462798757066
1661,5,2016,Alameda,0.5763676964634195
1662,5,2016,Amador,1.2250848465452608
1663,5,2016,Butte,1.1094294776763063
1664,5,2016,Calaveras,1.338594180870885
1665,5,2016,Colusa,1.2284803732043887
1666,5,2016,Contra Costa,0.5459410914943805
1667,5,2016,El Dorado,1.0723404357395652
1668,5,2016,Fresno,0.5377457917439943
1669,5,2016,Glenn,1.5614209101139542
1670,5,2016,Humboldt,0.7540688248570185
1671,5,2016,Imperial,0.496611879524358
1672,5,2016,Inyo,1.11271386009362
1673,5,2016,Kern,0.5314503015860077
1674,5,2016,Kings,0.9643139708824213
1675,5,2016,Lake,1.3689661245972569
1676,5,2016,Los Angeles,0.40094407758769934
1677,5,2016,Madera,0.9263164190326258
1678,5,2016,Marin,0.8813922256455256
1679,5,2016,Mariposa,1.2040061213015167
1680,5,2016,Mendocino,1.2327010371957645
1681,5,2016,Merced,1.3842585270279792
1682,5,2016,Monterey,0.471048413593706
1683,5,2016,Napa,0.9882122611306275
1684,5,2016,Nevada,1.859465235710663
1685,5,2016,Orange,0.5273493286577304
1686,5,2016,Placer,0.6312732628349083
1687,5,2016,Riverside,0.39718668080020403
1688,5,2016,Sacramento,0.5332592255995456
1689,5,2016,San Benito,0.6674043971595067
1690,5,2016,San Bernardino,0.4666263758301424
1691,5,2016,San Diego,0.3994479668574249
1692,5,2016,San Francisco,0.8070779363986085
1693,5,2016,San Joaquin,1.2177555862035676
1694,5,2016,San Luis Obispo,0.45550563275748285
1695,5,2016,San Mateo,0.8539115148129068
1696,5,2016,Santa Barbara,0.2795195240314051
1697,5,2016,Santa Clara,0.47578337632406603
1698,5,2016,Santa Cruz,0.9165160575419418
1699,5,2016,Shasta,0.9188565577702726
1700,5,2016,Siskiyou,0.7885825990374644
1701,5,2016,Solano,0.6207852607900546
1702,5,2016,Sonoma,0.7483740597480414
1703,5,2016,Stanislaus,0.8870973151673751
1704,5,2016,Sutter,1.527144360443638
1705,5,2016,Tehama,1.4309705227835587
1706,5,2016,Tulare,0.7911898379174044
1707,5,2016,Tuolumne,1.7626901136188575
1708,5,2016,Ventura,0.46095909667787965
1709,5,2016,Yolo,0.8520743892898671
